sim_time,node,is_attacker,f1_pkt_rate,f2_mean_rate,f3_burst_ratio,f4_rate_change,f5_rate_trend,f6_flow_duration,f7_activity_ratio,f8_cell_zscore,f9_consecutive,f10_peak_rate
26.0,ue[4],0,0.012,0.0111,0.054054,0.001,0.499917,0.083333,1.0,0.0,0.9,0.019
26.0,attacker[0],1,0.019,0.016,0.059375,0.002,0.502167,0.083333,0.962963,0.221667,0.866667,0.023
26.0,attacker[1],1,0.022,0.0183,0.060109,0.001,0.499917,0.083333,0.962963,0.348335,0.866667,0.029
26.0,attacker[2],1,0.016,0.0155,0.051613,0.008,0.5025,0.083333,0.962963,0.095,0.866667,0.024
27.0,ue[0],0,0.01,0.0094,0.053191,0.003,0.49875,0.086667,1.0,0.0,0.933333,0.018
27.0,ue[1],0,0.012,0.0108,0.055556,0.002,0.501167,0.086667,1.0,0.0,0.933333,0.017
27.0,ue[2],0,0.01,0.0111,0.045045,0.001,0.499417,0.086667,1.0,0.0,0.933333,0.018
27.0,ue[3],0,0.01,0.0102,0.04902,0.001,0.499083,0.086667,1.0,0.0,0.933333,0.015
27.0,ue[4],0,0.013,0.0112,0.058036,0.001,0.501417,0.086667,1.0,0.0,0.933333,0.019
27.0,attacker[0],1,0.027,0.0174,0.077586,0.008,0.503,0.086667,0.964286,0.471234,0.9,0.027
27.0,attacker[1],1,0.013,0.0184,0.035326,0.009,0.498583,0.086667,0.964286,0.0,0.9,0.029
27.0,attacker[2],1,0.018,0.0158,0.056962,0.002,0.499333,0.086667,0.964286,0.141828,0.9,0.024
28.0,ue[0],0,0.01,0.0091,0.054945,0.0,0.501333,0.09,1.0,0.0,0.966667,0.018
28.0,ue[1],0,0.01,0.0111,0.045045,0.002,0.499167,0.09,1.0,0.0,0.966667,0.017
28.0,ue[2],0,0.007,0.0106,0.033019,0.003,0.49925,0.09,1.0,0.0,0.966667,0.018
28.0,ue[3],0,0.012,0.0104,0.057692,0.002,0.499667,0.09,1.0,0.0,0.966667,0.015
28.0,ue[4],0,0.012,0.0112,0.053571,0.001,0.501417,0.09,1.0,0.0,0.966667,0.019
28.0,attacker[0],1,0.023,0.018,0.063889,0.004,0.503,0.09,0.965517,0.478352,0.933333,0.027
28.0,attacker[1],1,0.011,0.0184,0.029891,0.002,0.495,0.09,0.965517,0.0,0.933333,0.029
28.0,attacker[2],1,0.014,0.0159,0.044025,0.004,0.498667,0.09,0.965517,0.07316,0.933333,0.024
29.0,ue[0],0,0.007,0.0088,0.039773,0.003,0.500083,0.093333,1.0,0.0,1.0,0.018
29.0,ue[1],0,0.01,0.0106,0.04717,0.0,0.498833,0.093333,1.0,0.0,1.0,0.017
29.0,ue[2],0,0.014,0.0105,0.066667,0.007,0.50025,0.093333,1.0,0.004204,1.0,0.018
29.0,ue[3],0,0.015,0.0109,0.068807,0.003,0.50125,0.093333,1.0,0.037838,1.0,0.015
29.0,ue[4],0,0.012,0.0117,0.051282,0.0,0.5,0.093333,1.0,0.0,1.0,0.019
29.0,attacker[0],1,0.007,0.0169,0.02071,0.016,0.496333,0.093333,0.966667,0.0,0.966667,0.027
29.0,attacker[1],1,0.022,0.0193,0.056995,0.011,0.498917,0.093333,0.966667,0.273276,0.966667,0.029
29.0,attacker[2],1,0.024,0.0169,0.071006,0.01,0.499833,0.093333,0.966667,0.340544,0.966667,0.024
30.0,ue[0],0,0.011,0.0095,0.057895,0.004,0.5,0.096667,1.0,0.0,1.0,0.018
30.0,ue[1],0,0.005,0.0098,0.02551,0.005,0.49775,0.096667,1.0,0.0,1.0,0.017
30.0,ue[2],0,0.017,0.0112,0.075893,0.003,0.503083,0.096667,1.0,0.307134,1.0,0.018
30.0,ue[3],0,0.009,0.0108,0.041667,0.006,0.500833,0.096667,1.0,0.0,1.0,0.015
30.0,ue[4],0,0.012,0.0117,0.051282,0.0,0.499833,0.096667,1.0,0.014625,1.0,0.019
30.0,attacker[0],1,0.012,0.0167,0.035928,0.005,0.49325,0.096667,1.0,0.014625,1.0,0.027
30.0,attacker[1],1,0.013,0.0185,0.035135,0.009,0.501083,0.096667,1.0,0.073127,1.0,0.029
30.0,attacker[2],1,0.015,0.0173,0.043353,0.009,0.50175,0.096667,1.0,0.190131,1.0,0.024
